review_id,product_id,product_name,rating,date,review_text
r001,P100,TrailBlaze Hiking Jacket,2,2026-06-02,"Loved it for two weeks then the main zipper split and won't close. Really disappointed for the price."
r002,P100,TrailBlaze Hiking Jacket,1,2026-06-05,"Zipper broke on the third use. Same story as other reviewers apparently. Returning it."
r003,P100,TrailBlaze Hiking Jacket,4,2026-06-08,"Warm and light. Runs small though — order a size up. The zipper feels a bit flimsy honestly."
r004,P100,TrailBlaze Hiking Jacket,2,2026-06-11,"Great fabric but the zipper pull came off in my hand. Second jacket from this brand with a zipper issue."
r005,P100,TrailBlaze Hiking Jacket,5,2026-06-14,"Fantastic on a cold hike. Fits true if anything slightly snug. No complaints yet."
r006,P100,TrailBlaze Hiking Jacket,1,2026-06-19,"Zipper jammed and then tore off after a month. For $180 this is unacceptable."
r007,P100,TrailBlaze Hiking Jacket,3,2026-06-24,"Decent jacket. Sizing runs small, I'm normally a medium and the medium was tight."
r008,P200,AquaPure Insulated Bottle,5,2026-06-01,"Keeps water cold for 24 hours easily. Best bottle I've owned."
r009,P200,AquaPure Insulated Bottle,2,2026-06-04,"The lid leaks if you lay it sideways in a bag. Soaked my laptop bag. Insulation is great though."
r010,P200,AquaPure Insulated Bottle,2,2026-06-09,"Love the insulation but the lid seal leaks. Came home to a wet backpack twice now."
r011,P200,AquaPure Insulated Bottle,4,2026-06-13,"Solid bottle, keeps drinks cold. Wish the lid didn't drip a little around the threads."
r012,P200,AquaPure Insulated Bottle,5,2026-06-18,"Amazing. Ice still there after a full work day. Highly recommend."
r013,P200,AquaPure Insulated Bottle,3,2026-06-22,"Good but the lid leaked in my gym bag. Might just be my unit."
r014,P300,SolarGlow Garden Lights,4,2026-06-03,"Bright and easy to install. Look great along the path."
r015,P300,SolarGlow Garden Lights,1,2026-06-07,"Stopped working after the first heavy rain. Supposedly waterproof but clearly not."
r016,P300,SolarGlow Garden Lights,2,2026-06-12,"Three of the six lights died after a rainstorm. Water got inside the casing."
r017,P300,SolarGlow Garden Lights,5,2026-06-16,"Charge well and look beautiful at night. No issues so far in dry weather."
r018,P300,SolarGlow Garden Lights,1,2026-06-21,"Rain killed them within two weeks. Water seeped into the battery compartment. Not waterproof at all."
r019,P300,SolarGlow Garden Lights,4,2026-06-26,"Nice warm glow, but I now bring them in when it rains after reading other reviews."
r020,P400,CozyKnit Merino Sweater,5,2026-06-02,"Incredibly soft and warm. Fits perfectly. My new favorite sweater."
r021,P400,CozyKnit Merino Sweater,2,2026-06-06,"Shrank a full size in the wash even on cold. Wish the care instructions were clearer."
r022,P400,CozyKnit Merino Sweater,4,2026-06-10,"Beautiful sweater. Hand wash only or it shrinks — learned that the hard way but my fault."
r023,P400,CozyKnit Merino Sweater,5,2026-06-15,"Great quality merino, no itch, true to size. Would buy again."
r024,P400,CozyKnit Merino Sweater,3,2026-06-20,"Lovely until I washed it and it shrank. Would be 5 stars if it were machine washable."
r025,P400,CozyKnit Merino Sweater,5,2026-06-25,"Perfect fit and so cozy. Just follow the wash instructions and you're fine."
